Model / Label,Epoch,Norm,Coralscapes mIoU (%),Coralscapes Pixel Acc (%),CoralMask Coral-IoU (%),CoralMask mIoU (%)
stage1_marine_with_physics_lr_1e-4_no_pixel_tau_99/benthic-ssl-epoch=14-ssl_loss=11.32.ckpt,14,BenthicNet,23.97%,61.19%,72.70%,79.65%
stage1_marine_with_physics_lr_5e-4_with_pixel/benthic-ssl-best.ckpt,2,BenthicNet,25.44%,61.32%,73.05%,79.90%
stage1_marine_with_physics_lr_5e-4_with_pixel/benthic-ssl-epoch=00-ssl_loss=13.43.ckpt,0,BenthicNet,24.15%,61.19%,72.77%,79.81%
stage1_marine_with_physics_lr_5e-4_with_pixel/benthic-ssl-epoch=01-ssl_loss=12.35.ckpt,1,BenthicNet,25.25%,61.30%,72.96%,79.80%
stage1_marine_with_physics_lr_5e-4_with_pixel/benthic-ssl-epoch=02-ssl_loss=12.31.ckpt,2,BenthicNet,25.44%,61.32%,73.05%,79.90%
stage1_marine_with_physics_lr_5e-4_with_pixel/benthic-ssl-epoch=05-ssl_loss=13.02.ckpt,5,BenthicNet,23.65%,60.00%,72.21%,79.32%
stage1_marine_with_physics_lr_5e-4_with_pixel/benthic-ssl-epoch=08-ssl_loss=13.68.ckpt,8,BenthicNet,16.44%,54.95%,63.39%,72.49%
stage1_marine_with_physics_lr_5e-4_with_pixel/benthic-ssl-epoch=11-ssl_loss=13.70.ckpt,11,BenthicNet,9.85%,48.55%,51.72%,64.29%
stage1_marine_with_physics_lr_5e-4_with_pixel/benthic-ssl-epoch=14-ssl_loss=13.91.ckpt,14,BenthicNet,9.49%,46.51%,47.36%,61.06%
stage1_marine_with_physics/benthic-ssl-best.ckpt,3,ImageNet,24.57%,61.02%,73.14%,79.92%
stage1_marine_with_physics/benthic-ssl-epoch=00-ssl_loss=14.05.ckpt,0,ImageNet,23.57%,61.18%,72.61%,79.72%
stage1_marine_with_physics/benthic-ssl-epoch=01-ssl_loss=13.06.ckpt,1,ImageNet,24.56%,61.14%,73.08%,79.83%
stage1_marine_with_physics/benthic-ssl-epoch=02-ssl_loss=12.81.ckpt,2,ImageNet,25.01%,61.12%,73.12%,79.89%
stage1_marine_with_physics/benthic-ssl-epoch=03-ssl_loss=12.79.ckpt,3,ImageNet,24.57%,61.02%,73.14%,79.92%
stage1_marine_with_physics/benthic-ssl-epoch=05-ssl_loss=13.10.ckpt,5,ImageNet,26.02%,61.03%,72.92%,79.91%
stage1_marine_with_physics/benthic-ssl-epoch=08-ssl_loss=12.92.ckpt,8,ImageNet,26.17%,61.24%,72.87%,79.90%
stage1_marine_with_physics/benthic-ssl-epoch=11-ssl_loss=12.83.ckpt,11,ImageNet,26.11%,61.27%,73.02%,79.88%
stage1_marine_with_physics/benthic-ssl-epoch=14-ssl_loss=12.85.ckpt,14,ImageNet,26.01%,61.30%,73.03%,79.89%
stage1_marine_with_physics/benthic-ssl-epoch=44-ssl_loss=13.00.ckpt,44,ImageNet,23.28%,61.20%,72.60%,79.70%
stage1_marine_with_physics_lr_3e-4_pixel/benthic-ssl-best.ckpt,2,BenthicNet,25.08%,61.22%,73.07%,79.90%
stage1_marine_with_physics_lr_3e-4_pixel/benthic-ssl-epoch=00-ssl_loss=13.61.ckpt,0,BenthicNet,23.97%,61.21%,72.73%,79.79%
stage1_marine_with_physics_lr_3e-4_pixel/benthic-ssl-epoch=01-ssl_loss=12.51.ckpt,1,BenthicNet,24.48%,61.25%,73.04%,79.84%
stage1_marine_with_physics_lr_3e-4_pixel/benthic-ssl-epoch=02-ssl_loss=12.42.ckpt,2,BenthicNet,25.08%,61.22%,73.07%,79.90%
stage1_marine_with_physics_lr_3e-4_pixel/benthic-ssl-epoch=05-ssl_loss=12.93.ckpt,5,BenthicNet,25.94%,61.11%,72.58%,79.76%
stage1_marine_with_physics_lr_3e-4_pixel/benthic-ssl-epoch=08-ssl_loss=12.78.ckpt,8,BenthicNet,24.30%,60.59%,72.59%,79.34%
stage1_marine_with_physics_lr_3e-4_pixel/benthic-ssl-epoch=11-ssl_loss=12.96.ckpt,11,BenthicNet,22.64%,60.38%,71.85%,78.83%
stage1_marine_with_physics_lr_3e-4_pixel/benthic-ssl-epoch=14-ssl_loss=13.24.ckpt,14,BenthicNet,21.67%,60.27%,70.87%,78.34%
stage1_marine_no_physics/benthic-ssl-best.ckpt,12,ImageNet,25.11%,61.07%,72.66%,79.73%
stage1_marine_no_physics/benthic-ssl-epoch=00-ssl_loss=14.03.ckpt,0,ImageNet,23.55%,61.18%,72.61%,79.72%
stage1_marine_no_physics/benthic-ssl-epoch=01-ssl_loss=13.01.ckpt,1,ImageNet,24.00%,61.15%,72.80%,79.85%
stage1_marine_no_physics/benthic-ssl-epoch=02-ssl_loss=12.74.ckpt,2,ImageNet,24.28%,61.08%,73.10%,79.87%
stage1_marine_no_physics/benthic-ssl-epoch=03-ssl_loss=12.73.ckpt,3,ImageNet,24.40%,61.02%,72.86%,79.87%
stage1_marine_no_physics/benthic-ssl-epoch=05-ssl_loss=13.08.ckpt,5,ImageNet,25.18%,60.96%,72.83%,79.84%
stage1_marine_no_physics/benthic-ssl-epoch=08-ssl_loss=12.83.ckpt,8,ImageNet,25.54%,61.08%,72.70%,79.75%
stage1_marine_no_physics/benthic-ssl-epoch=10-ssl_loss=12.69.ckpt,10,ImageNet,25.36%,61.12%,72.68%,79.74%
stage1_marine_no_physics/benthic-ssl-epoch=11-ssl_loss=12.66.ckpt,11,ImageNet,25.12%,61.09%,72.68%,79.74%
stage1_marine_no_physics/benthic-ssl-epoch=12-ssl_loss=12.65.ckpt,12,ImageNet,25.11%,61.07%,72.66%,79.73%
stage1_marine_no_physics/benthic-ssl-epoch=14-ssl_loss=12.70.ckpt,14,ImageNet,25.23%,61.08%,72.68%,79.74%
ssl_off_pix/benthic-ssl-best.ckpt,11,ImageNet,25.00%,61.02%,72.71%,79.77%
ssl_off_pix/benthic-ssl-epoch=00-ssl_loss=14.04.ckpt,0,ImageNet,23.53%,61.14%,72.60%,79.72%
ssl_off_pix/benthic-ssl-epoch=01-ssl_loss=12.98.ckpt,1,ImageNet,24.03%,61.14%,72.82%,79.86%
ssl_off_pix/benthic-ssl-epoch=02-ssl_loss=12.69.ckpt,2,ImageNet,24.52%,61.05%,73.15%,79.91%
ssl_off_pix/benthic-ssl-epoch=03-ssl_loss=12.67.ckpt,3,ImageNet,24.66%,61.02%,73.12%,79.91%
ssl_off_pix/benthic-ssl-epoch=05-ssl_loss=12.98.ckpt,5,ImageNet,25.43%,61.01%,72.82%,79.84%
ssl_off_pix/benthic-ssl-epoch=08-ssl_loss=12.71.ckpt,8,ImageNet,25.05%,61.01%,72.72%,79.78%
ssl_off_pix/benthic-ssl-epoch=09-ssl_loss=12.64.ckpt,9,ImageNet,24.92%,61.00%,72.71%,79.77%
ssl_off_pix/benthic-ssl-epoch=10-ssl_loss=12.59.ckpt,10,ImageNet,24.86%,61.02%,72.72%,79.78%
ssl_off_pix/benthic-ssl-epoch=11-ssl_loss=12.58.ckpt,11,ImageNet,25.00%,61.02%,72.71%,79.77%
ssl_off_pix/benthic-ssl-epoch=14-ssl_loss=12.63.ckpt,14,ImageNet,24.93%,61.01%,72.72%,79.78%
ssl_off_no_pix/benthic-ssl-best.ckpt,3,ImageNet,23.96%,61.05%,72.52%,79.67%
ssl_off_no_pix/benthic-ssl-epoch=00-ssl_loss=13.79.ckpt,0,ImageNet,23.44%,61.15%,72.60%,79.71%
ssl_off_no_pix/benthic-ssl-epoch=01-ssl_loss=11.96.ckpt,1,ImageNet,23.67%,61.19%,72.64%,79.74%
ssl_off_no_pix/benthic-ssl-epoch=02-ssl_loss=11.19.ckpt,2,ImageNet,23.73%,61.13%,72.59%,79.71%
ssl_off_no_pix/benthic-ssl-epoch=03-ssl_loss=10.93.ckpt,3,ImageNet,23.96%,61.05%,72.52%,79.67%
ssl_off_no_pix/benthic-ssl-epoch=05-ssl_loss=11.13.ckpt,5,ImageNet,24.16%,60.92%,72.68%,79.64%
ssl_off_no_pix/benthic-ssl-epoch=08-ssl_loss=11.07.ckpt,8,ImageNet,23.89%,60.84%,72.65%,79.63%
ssl_off_no_pix/benthic-ssl-epoch=11-ssl_loss=10.93.ckpt,11,ImageNet,24.15%,60.90%,72.65%,79.63%
ssl_off_no_pix/benthic-ssl-epoch=14-ssl_loss=11.05.ckpt,14,ImageNet,24.11%,60.94%,72.66%,79.64%
off-the-shelf (no continued pretraining),-,ImageNet,23.31%,61.20%,72.60%,79.70%
